date,city,avg_NO2
2022-05-28,Paris,17.46
2022-05-29,Paris,10.88
2022-05-30,Paris,22.44
2022-05-31,Paris,33.38
2022-06-01,Paris,28.68
2022-06-02,Paris,11.08
2022-06-03,Paris,23.68
2022-06-04,Paris,19.7
2022-06-05,Paris,14.84
2022-06-06,Paris,14.39
2022-06-07,Paris,11.46
2022-06-08,Paris,11.52
2022-06-09,Paris,16.28
2022-06-10,Paris,17.62
2022-06-11,Paris,16.77
2022-06-12,Paris,13.0
2022-06-13,Paris,23.37
2022-06-14,Paris,14.63
2022-06-15,Paris,21.92
2022-06-16,Paris,29.71
2022-06-17,Paris,53.29
2022-06-18,Paris,19.73
2022-06-19,Paris,14.77
2022-06-20,Paris,10.64
2022-06-21,Paris,14.57
2022-06-22,Paris,24.4
2022-06-23,Paris,19.13
2022-06-24,Paris,11.45
2022-06-25,Paris,20.34
2022-06-26,Paris,11.9
2022-06-27,Paris,20.29
2022-06-28,Paris,26.19
2022-06-29,Paris,18.97
2022-06-30,Paris,23.7
2022-07-01,Paris,18.63
2022-07-02,Paris,17.24
2022-07-03,Paris,13.12
2022-07-04,Paris,16.61
2022-07-05,Paris,13.25
2022-07-06,Paris,17.33
2022-07-07,Paris,11.02
2022-07-08,Paris,18.72
2022-07-09,Paris,15.64
2022-07-10,Paris,6.05
2022-07-11,Paris,8.07
2022-07-12,Paris,24.08
2022-07-13,Paris,18.77
2022-07-14,Paris,14.63
2022-07-15,Paris,9.69
2022-07-16,Paris,9.45
2022-07-17,Paris,8.33
2022-07-18,Paris,15.82
2022-07-19,Paris,8.12
2022-07-20,Paris,9.85
2022-07-22,Paris,26.8
2022-07-23,Paris,15.84
2022-07-24,Paris,15.84
2022-07-25,Paris,13.63
2022-07-26,Paris,11.42
2022-07-27,Paris,10.52
2022-07-28,Paris,16.84
2022-07-29,Paris,35.57
2022-07-30,Paris,19.47
2022-07-31,Paris,12.62
2022-08-01,Paris,20.86
2022-08-02,Paris,34.79
2022-08-03,Paris,32.22
2022-08-04,Paris,22.08
2022-08-05,Paris,14.39
2022-08-06,Paris,9.05
2022-08-07,Paris,7.94
2022-08-08,Paris,10.75
2022-08-09,Paris,11.03
2022-08-10,Paris,12.42
2022-08-11,Paris,13.44
2022-08-12,Paris,15.41
2022-08-13,Paris,12.2
2022-08-14,Paris,19.22
2022-08-15,Paris,16.25
2022-08-16,Paris,29.76
2022-08-17,Paris,28.24
2022-08-18,Paris,31.1
2022-08-19,Paris,19.97
2022-08-20,Paris,33.78
2022-08-21,Paris,25.05
2022-08-22,Paris,30.24
2022-08-23,Paris,31.72
2022-08-24,Paris,25.45
2022-08-25,Paris,25.91
2022-08-26,Paris,14.06
2022-08-27,Paris,11.94
2022-08-28,Paris,11.15
